time,hvac_reaAhu_THeaCoiSup_y
1111740,318.5482485992414
1111770,318.5502404859002
1111800,318.55223234538624
1111830,318.5542241715144
1111860,318.55621596946906
1111890,318.5582077429106
1111920,318.56019949220007
1111950,318.562191215325
1111980,318.56418291161486
1112010,318.56617458084645
1112040,318.5681662229455
1112070,318.5701578378875
1112100,318.5721494256647
1112130,318.5741409862746
1112160,318.57613251971657
1112190,318.5781240259908
1112220,318.5801155050975
1112250,318.5821069570371
1112280,318.58409838180984
1112310,318.5860897794161
1112340,318.58808114985635
1112370,318.59007249313095
1112400,318.5920638092401
1112430,318.59405509326064
1112460,318.59604634779186
1112490,318.59803757788006
1112520,318.6000287838227
1112550,318.602019963608
1112580,318.6040111165655
1112610,318.60600224247213
1112640,318.6079933412535
1112670,318.60998441288547
1112700,318.61197545735985
1112730,318.6139664746744
1112760,318.61595746482845
1112790,318.6179484278222
1112820,318.6199393636559
1112850,318.62193027232973
1112880,318.6239211538442
1112910,318.62591200819963
1112940,318.62790283539647
1112970,318.6298936354349
1113000,318.63188440831544
1113030,318.6338751466145
1113060,318.63586585160203
1113090,318.6378565294331
1113120,318.63984718010806
1113150,318.64183780362737
1113180,318.6438283999914
1113210,318.6458189692004
1113240,318.64780951125476
1113270,318.649800026155
1113300,318.6517905139013
1113330,318.65378097449417
1113360,318.65577140793397
1113390,318.657761814221
1113420,318.65975219335564
1113450,318.6617425453383
1113480,318.6637328701693
1113510,318.6657231678491
1113540,318.667713438378
1113570,318.6697036817563
1113600,318.67169389798465
1113630,318.6736840967613
1113660,318.67567426280186
1113690,318.6776643975817
1113720,318.67965450521285
1113750,318.6816445856957
1113780,318.68363463903063
1113810,318.68562466521803
1113840,318.68761466425826
1113870,318.68960463615167
1113900,318.6915945808986
1113930,318.69358449849955
1113960,318.6955743889547
1113990,318.69756425226456
1114020,318.69955408842947
1114050,318.70154389744977
1114080,318.70353367932586
1114110,318.7055234340581
1114140,318.70751316164683
1114170,318.70950286209245
1114200,318.7114925353954
1114230,318.71348218751143
1114260,318.7154718065299
1114290,318.7174613984067
1114320,318.71945096314226
1114350,318.72144050073695
1114380,318.72343001119117
1114410,318.72541949450516
1114440,318.72740895067943
1114470,318.72939837971427
1114500,318.7313877816101
1114530,318.7333771563672
1114560,318.73536650398614
1114590,318.73735582446704
1114620,318.7393451178104
1114650,318.74133438401657
1114680,318.743323623086
1114710,318.7453128350189
1114740,318.7473020198157
1114770,318.74929117747695
1114800,318.7512803080028
1114830,318.7532694177686
1114860,318.75525849743224
1114890,318.7572475599426
1114920,318.7592365899675
1114950,318.7612255870573
1114980,318.76321456822075
1115010,318.76520352237367
1115040,318.7671924493948
1115070,318.76918134928405
1115100,318.77117022204146
1115130,318.7731590676673
1115160,318.77514788616185
1115190,318.7771366775255
1115220,318.77912544175865
1115250,318.7811141788617
1115280,318.78310288883495
1115310,318.7850915716787
1115340,318.78708022739346
1115370,318.7890688559796
1115400,318.7910574574374
1115430,318.7930460247951
1115460,318.795034566578
1115490,318.79702308552856
1115520,318.79901157110965
1115550,318.80100003378976
1115580,318.8029884680481
1115610,318.80497687324834
1115640,318.80696525134107
1115670,318.80895360769296
1115700,318.8109419378393
1115730,318.81293023634134
1115760,318.8149185077684
1115790,318.81690675508577
1115820,318.81889497628464
1115850,318.82088317069565
1115880,318.82287133809587
1115910,318.8248594784114
1115940,318.82684759161754
1115970,318.8288356777066
1116000,318.8308237366762
