time,hvac_reaAhu_THeaCoiRet_y
7664850,318.15146545127976
7664880,318.1514714991069
7664910,318.15156853111307
7664940,318.15181325278894
7664970,318.15210891840616
7665000,318.1524112073729
7665030,318.1527186402581
7665060,318.15302621072027
7665090,318.1533340924403
7665120,318.1536420806606
7665150,318.1539500943086
7665180,318.1542581136979
7665210,318.15456613485657
7665240,318.1548741571977
7665270,318.1551821807032
7665300,318.15549020544387
7665330,318.1546306397029
7665360,318.1546299758803
7665390,318.1546299758326
7665420,318.1546299758594
7665450,318.15462997585945
7665480,318.1546299758593
7665510,318.1546299758593
7665540,318.1546299758593
7665570,318.1546299758593
7665600,318.1546299758593
7665630,318.1546299758593
7665660,318.1546299758593
7665690,318.1546299758593
7665720,318.1546299758593
7665750,318.1546299758593
7665780,318.1546299758593
7665810,318.1546299758593
7665840,318.1546299758593
7665870,318.1546299758593
7665900,318.1546299758593
7665930,318.1546299758593
7665960,318.1546299758593
7665990,318.1546299758593
7666020,318.1546299758593
7666050,318.1546299758593
7666080,318.1546299758593
7666110,318.1546299758593
7666140,318.1546299758593
7666170,318.1546299758593
7666200,318.1546299758593
7666230,318.1546299758593
7666260,318.1546299758593
7666290,318.1546299758593
7666320,318.1546299758593
7666350,318.1546299758593
7666380,318.1546299758593
7666410,318.1546299758593
7666440,318.1546299758593
7666470,318.1546299758593
7666500,318.1546299758593
7666530,318.1546299758593
7666560,318.1546299758593
7666590,318.1546299758593
7666620,318.1546299758593
7666650,318.1546299758593
7666680,318.1546299758593
7666710,318.1546299758593
7666740,318.1546299758593
7666770,318.1546299758593
7666800,318.1546299758593
7666830,318.1546299758593
7666860,318.1546299758593
7666890,318.1546299758593
7666920,318.1546299758593
7666950,318.1546299758593
7666980,318.1546299758593
7667010,318.1546299758593
7667040,318.1546299758593
7667070,318.1546299758593
7667100,318.1546299758593
7667130,318.1546299758593
7667160,318.1546299758593
7667190,318.1546299758593
7667220,318.1546299758593
7667250,318.1546299758593
7667280,318.1546299758593
7667310,318.1546299758593
7667340,318.1546299758593
7667370,318.1546299758593
7667400,318.1546299758593
7667430,318.1546299758593
7667460,318.1546299758593
7667490,318.1546299758593
7667520,318.1546299758593
7667550,318.1546299758593
7667580,318.1546299758593
7667610,318.1546299758593
7667640,318.1546299758593
7667670,318.1546299758593
7667700,318.1546299758593
7667730,318.1546299758593
7667760,318.1546299758593
7667790,318.1546299758593
7667820,318.1546299758593
7667850,318.1546299758593
7667880,318.1546299758593
7667910,318.1546299758593
7667940,318.1546299758593
7667970,318.1546299758593
7668000,318.1546299758593
7668030,318.1546299758593
7668060,318.1546299758593
7668090,318.1546299758593
7668120,318.1546299758593
7668150,318.1546299758593
7668180,318.1546299758593
7668210,318.1546299758593
7668240,318.1546299758593
7668270,318.1546299758593
7668300,318.1546299758593
7668330,318.1546299758593
7668360,318.1546299758593
7668390,318.1546299758593
7668420,318.1546299758593
7668450,318.1546299758593
7668480,318.1546299758593
7668510,318.1546299758593
7668540,318.1546299758593
7668570,318.1546299758593
7668600,318.1546299758593
7668630,318.1546299758593
7668660,318.1546299758593
7668690,318.1546299758593
7668720,318.1546299758593
7668750,318.1546299758593
7668780,318.1546299758593
7668810,318.1546299758593
7668840,318.1546299758593
7668870,318.1546299758593
7668900,318.1546299758593
7668930,318.1546299758593
7668960,318.1546299758593
7668990,318.1546299758593
7669020,318.1546299758593
7669050,318.1546299758593
7669080,318.1546299758593
7669110,318.1546299758593
7669140,318.1546299758593
7669170,318.1546299758593
7669200,318.1546299758593
7669230,318.1546299758593
7669260,318.1546299758593
7669290,318.1546299758593
7669320,318.1546299758593
7669350,318.1546299758593
7669380,318.1546299758593
7669410,318.1546299758593
7669440,318.1546299758593
7669470,318.1546299758593
7669500,318.1546299758593
7669530,318.1546299758593
7669560,318.1546299758593
7669590,318.1546299758593
7669620,318.1546299758593
7669650,318.1546299758593
7669680,318.1546299758593
7669710,318.1546299758593
7669740,318.1546299758593
7669770,318.1546299758593
7669800,318.1546299758593
7669830,318.1546299758593
7669860,318.1546299758593
7669890,318.1546299758593
7669920,318.1546299758593
7669950,318.1546299758593
7669980,318.1546299758593
7670010,318.1546299758593
7670040,318.1546299758593
7670070,318.1546299758593
7670100,318.1546299758593
7670130,318.1546299758593
7670160,318.1546299758593
7670190,318.1546299758593
7670220,318.1546299758593
7670250,318.1546299758593
7670280,318.1546299758593
7670310,318.1546299758593
7670340,318.1546299758593
7670370,318.1546299758593
7670400,318.1546299758593
7670430,318.1546299758593
7670460,318.1546299758593
7670490,318.1546299758593
7670520,318.1546299758593
7670550,318.1546299758593
7670580,318.1546299758593
7670610,318.1546299758593
7670640,318.1546299758593
7670670,318.1546299758593
7670700,318.1546299758593
7670730,318.1546299758593
7670760,318.1546299758593
7670790,318.1546299758593
7670820,318.1546299758593
7670850,318.1546299758593
7670880,318.1546299758593
7670910,318.1546299758593
7670940,318.1546299758593
7670970,318.1546299758593
7671000,318.1546299758593
7671030,318.1546299758593
7671060,318.1546299758593
7671090,318.1546299758593
7671120,318.1546299758593
7671150,318.1546299758593
7671180,318.1546299758593
7671210,318.1546299758593
7671240,318.1546299758593
7671270,318.1546299758593
7671300,318.1546299758593
7671330,318.1546299758593
7671360,318.1546299758593
7671390,318.1546299758593
7671420,318.1546299758593
7671450,318.1546299758593
7671480,318.1546299758593
7671510,318.1546299758593
7671540,318.1546299758593
7671570,318.1546299758593
7671600,318.1546299758593
7671630,318.1546299758593
7671660,318.1546299758593
7671690,318.1546299758593
7671720,318.1546299758593
7671750,318.1546299758593
7671780,318.1546299758593
7671810,318.1546299758593
7671840,318.1546299758593
7671870,318.1546299758593
7671900,318.1546299758593
7671930,318.1546299758593
7671960,318.1546299758593
7671990,318.1546299758593
7672020,318.1546299758593
7672050,318.1546299758593
7672080,318.1546299758593
7672110,318.1546299758593
7672140,318.1546299758593
7672170,318.1546299758593
7672200,318.1546299758593
7672230,318.1546299758593
7672260,318.1546299758593
7672290,318.1546299758593
7672320,318.1546299758593
7672350,318.1546299758593
7672380,318.1546299758593
7672410,318.1546299758593
7672440,318.1546299758593
7672470,318.1546299758593
7672500,318.1546299758593
7672530,318.1546299758593
7672560,318.1546299758593
7672590,318.1546299758593
7672620,318.1546299758593
7672650,318.1546299758593
7672680,318.1546299758593
7672710,318.1546299758593
7672740,318.1546299758593
7672770,318.1546299758593
7672800,318.1546299758593
7672830,318.1546299758593
7672860,318.1546299758593
7672890,318.1546299758593
7672920,318.1546299758593
7672950,318.1546299758593
7672980,318.1546299758593
7673010,318.1546299758593
7673040,318.1546299758593
7673070,318.1546299758593
7673100,318.1546299758593
7673130,318.1546299758593
7673160,318.1546299758593
7673190,318.1546299758593
7673220,318.1546299758593
7673250,318.1546299758593
7673280,318.1546299758593
7673310,318.1546299758593
7673340,318.1546299758593
7673370,318.1546299758593
7673400,318.1546299758593
7673430,318.1546299758593
7673460,318.1546299758593
7673490,318.1546299758593
7673520,318.1546299758593
7673550,318.1546299758593
7673580,318.1546299758593
7673610,318.1546299758593
7673640,318.1546299758593
7673670,318.1546299758593
7673700,318.1546299758593
7673730,318.1546299758593
7673760,318.1546299758593
7673790,318.1546299758593
7673820,318.1546299758593
7673850,318.1546299758593
7673880,318.1546299758593
7673910,318.1546299758593
7673940,318.1546299758593
7673970,318.1546299758593
7674000,318.1546299758593
7674030,318.1546299758593
7674060,318.1546299758593
7674090,318.1546299758593
7674120,318.1546299758593
7674150,318.1546299758593
7674180,318.1546299758593
7674210,318.1546299758593
7674240,318.1546299758593
7674270,318.1546299758593
7674300,318.1546299758593
7674330,318.1546299758593
7674360,318.1546299758593
7674390,318.1546299758593
7674420,318.1546299758593
7674450,318.1546299758593
7674480,318.1546299758593
7674510,318.1546299758593
7674540,318.1546299758593
7674570,318.1546299758593
7674600,318.1546299758593
7674630,318.1546299758593
7674660,318.1546299758593
7674690,318.1546299758593
7674720,318.1546299758593
7674750,318.1546299758593
7674780,318.1546299758593
7674810,318.1546299758593
7674840,318.1546299758593
7674870,318.1546299758593
7674900,318.1546299758593
7674930,318.1546299758593
7674960,318.1546299758593
7674990,318.1546299758593
7675020,318.1546299758593
7675050,318.1546299758593
7675080,318.1546299758593
7675110,318.1546299758593
7675140,318.1546299758593
7675170,318.1546299758593
7675200,318.1546299758593
7675230,318.1546299758593
7675260,318.1546299758593
7675290,318.1546299758593
7675320,318.1546299758593
7675350,318.1546299758593
7675380,318.1546299758593
7675410,318.1546299758593
7675440,318.1546299758593
7675470,318.1546299758593
7675500,318.1546299758593
7675530,318.1546299758593
7675560,318.1546299758593
7675590,318.1546299758593
7675620,318.1546299758593
7675650,318.1546299758593
7675680,318.1546299758593
7675710,318.1546299758593
7675740,318.1546299758593
7675770,318.1546299758593
7675800,318.1546299758593
7675830,318.1546299758593
7675860,318.1546299758593
7675890,318.1546299758593
7675920,318.1546299758593
7675950,318.1546299758593
7675980,318.1546299758593
7676010,318.1546299758593
7676040,318.1546299758593
7676070,318.1546299758593
7676100,318.1546299758593
7676130,318.1546299758593
7676160,318.1546299758593
7676190,318.1546299758593
7676220,318.1546299758593
7676250,318.1546299758593
7676280,318.1546299758593
7676310,318.1546299758593
7676340,318.1546299758593
7676370,318.1546299758593
7676400,318.1546299758593
7676430,318.1546299758593
7676460,318.1546299758593
7676490,318.1546299758593
